First Division,W,D,L,G Ave,Pts
Burnley,24,7,11,1.39,55
Wolverhampton Wanderers,24,6,12,1.58,54
Tottenham Hotspur,21,11,10,1.72,53
West Bromwich Albion,19,11,12,1.46,49
Sheffield Wednesday,19,11,12,1.36,49
Bolton Wanderers,20,8,14,1.16,48
Manchester United,19,7,16,1.28,45
Newcastle United,18,8,16,1.05,44
Preston North End,16,12,14,1.04,44
Fulham,17,10,15,0.91,44
Blackpool,15,10,17,0.83,40
Leicester City,13,13,16,0.88,39
Arsenal,15,9,18,0.85,39
West Ham United,16,6,20,0.82,38
Everton,13,11,18,0.94,37
Manchester City,17,3,22,0.93,37
Blackburn Rovers,16,5,21,0.86,37
Chelsea,14,9,19,0.84,37
Birmingham City,13,10,19,0.79,36
Nottingham Forest,13,9,20,0.68,35
Leeds United,12,10,20,0.71,34
Luton Town,9,12,21,0.68,30
