First Division,W,D,L,G Ave,Pts
Sunderland,25,4,9,2.0,54
Aston Villa,19,12,7,1.65,50
The Wednesday,21,7,10,1.36,49
Manchester United,19,8,11,1.6,46
Blackburn Rovers,16,13,9,1.84,45
Manchester City,18,8,12,1.43,44
Derby County,17,8,13,1.05,42
Bolton Wanderers,16,10,12,0.98,42
Oldham Athletic,14,14,10,0.91,42
West Bromwich Albion,13,12,13,1.14,38
Everton,15,7,16,0.89,37
Liverpool,16,5,17,0.86,37
Bradford City,12,11,15,0.83,35
Newcastle United,13,8,17,1.0,34
Sheffield United,14,6,18,0.8,34
Middlesbrough,11,10,17,0.8,32
Tottenham Hotspur,12,6,20,0.63,30
Chelsea,11,6,21,0.7,28
Notts County,7,9,22,0.5,23
Woolwich Arsenal,3,12,23,0.35,18
