Premier League,W,D,L,GD,Pts
Manchester United,27,11,4,42.0,92
Blackburn Rovers,25,9,8,27.0,84
Newcastle United,23,8,11,41.0,77
Arsenal,18,17,7,25.0,71
Leeds United,18,16,8,26.0,70
Wimbledon,18,11,13,3.0,65
Sheffield Wednesday,16,16,10,22.0,64
Liverpool,17,9,16,4.0,60
Queens Park Rangers,16,12,14,1.0,60
Aston Villa,15,12,15,-4.0,57
Coventry City,14,14,14,-2.0,56
Norwich City,12,17,13,4.0,53
West Ham United,13,13,16,-11.0,52
Chelsea,13,12,17,-4.0,51
Tottenham Hotspur,11,12,19,-5.0,45
Manchester City,9,18,15,-11.0,45
Everton,12,8,22,-21.0,44
Southampton,12,7,23,-17.0,43
Ipswich Town,9,16,17,-23.0,43
Sheffield United,8,18,16,-18.0,42
Oldham Athletic,9,13,20,-26.0,40
Swindon Town,5,15,22,-53.0,30
