Premier League,W,D,L,GD,Pts
Blackburn Rovers,27,8,7,41.0,89
Manchester United,26,10,6,49.0,88
Nottingham Forest,22,11,9,29.0,77
Liverpool,21,11,10,28.0,74
Leeds United,20,13,9,21.0,73
Newcastle United,20,12,10,20.0,72
Tottenham Hotspur,16,14,12,8.0,62
Queens Park Rangers,17,9,16,2.0,60
Wimbledon,15,11,16,-17.0,56
Southampton,12,18,12,-2.0,54
Chelsea,13,15,14,-5.0,54
Arsenal,13,12,17,3.0,51
Sheffield Wednesday,13,12,17,-8.0,51
West Ham United,13,11,18,-4.0,50
Everton,11,17,14,-7.0,50
Coventry City,12,14,16,-18.0,50
Manchester City,12,13,17,-11.0,49
Aston Villa,11,15,16,-5.0,48
Crystal Palace,11,12,19,-15.0,45
Norwich City,10,13,19,-17.0,43
Leicester City,6,11,25,-35.0,29
Ipswich Town,7,6,29,-57.0,27
