First Division,W,D,L,G Ave,Pts
Manchester United,28,8,6,1.91,64
Tottenham Hotspur,22,12,8,1.86,56
Preston North End,23,10,9,1.5,56
Blackpool,22,9,11,1.43,53
Arsenal,21,8,13,1.23,50
Wolverhampton Wanderers,20,8,14,1.34,48
Burnley,18,10,14,1.12,46
Leeds United,15,14,13,1.14,44
Bolton Wanderers,16,12,14,1.0,44
Aston Villa,14,15,13,1.18,43
West Bromwich Albion,14,14,14,0.97,42
Birmingham City,15,9,18,1.0,39
Chelsea,13,13,16,1.0,39
Sheffield Wednesday,16,6,20,0.93,38
Everton,14,10,18,0.77,38
Luton Town,14,9,19,0.76,37
Newcastle United,14,8,20,0.77,36
Manchester City,13,9,20,0.89,35
Portsmouth,10,13,19,0.67,33
Sunderland,12,8,22,0.76,32
Cardiff City,10,9,23,0.6,29
Charlton Athletic,9,4,29,0.52,22
