First Division,W,D,L,G Ave,Pts
Liverpool,22,13,7,1.75,57
Tottenham Hotspur,21,9,12,1.67,51
Burnley,22,5,15,1.33,49
Cardiff City,19,10,13,1.15,48
Aston Villa,22,3,17,1.35,47
Bolton Wanderers,20,7,15,1.15,47
Newcastle United,18,10,14,1.31,46
Middlesbrough,16,14,12,1.14,46
Chelsea,17,12,13,0.93,46
Manchester City,18,9,15,0.93,45
Sheffield United,15,10,17,1.09,40
Sunderland,16,8,18,0.97,40
West Bromwich Albion,15,10,17,0.81,40
Huddersfield Town,15,9,18,0.98,39
Blackburn Rovers,13,12,17,0.95,38
Preston North End,13,12,17,0.65,38
Arsenal,15,7,20,0.84,37
Birmingham,15,7,20,0.8,37
Oldham Athletic,13,11,18,0.76,37
Everton,12,12,18,1.04,36
Bradford City,11,10,21,0.67,32
Manchester United,8,12,22,0.56,28
