First Division,W,D,L,G Ave,Pts
Wolverhampton Wanderers,25,7,10,1.71,57
West Bromwich Albion,22,9,11,1.37,53
Huddersfield Town,20,11,11,1.28,51
Manchester United,18,12,12,1.26,48
Bolton Wanderers,18,12,12,1.25,48
Blackpool,19,10,13,1.16,48
Burnley,21,4,17,1.16,46
Chelsea,16,12,14,1.09,44
Charlton Athletic,19,6,17,0.97,44
Cardiff City,18,8,16,0.72,44
Preston North End,19,5,18,1.5,43
Arsenal,15,13,14,1.03,43
Aston Villa,16,9,17,1.03,41
Portsmouth,14,11,17,0.91,39
Newcastle United,14,10,18,0.94,38
Tottenham Hotspur,16,5,21,0.86,37
Manchester City,14,9,19,0.81,37
Sunderland,14,8,20,0.91,36
Sheffield Wednesday,15,6,21,0.77,36
Sheffield United,11,11,20,0.77,33
Middlesbrough,10,10,22,0.66,30
Liverpool,9,10,23,0.7,28
