Premier League,W,D,L,GD,Pts
Manchester United,24,8,6,48.0,80
Arsenal,20,10,8,25.0,70
Liverpool,20,9,9,32.0,69
Leeds United,20,8,10,21.0,68
Ipswich Town,20,6,12,15.0,66
Chelsea,17,10,11,23.0,61
Sunderland,15,12,11,5.0,57
Aston Villa,13,15,10,3.0,54
Charlton Athletic,14,10,14,-7.0,52
Southampton,14,10,14,-8.0,52
Newcastle United,14,9,15,-6.0,51
Tottenham Hotspur,13,10,15,-7.0,49
Leicester City,14,6,18,-12.0,48
Middlesbrough,9,15,14,0.0,42
West Ham United,10,12,16,-5.0,42
Everton,11,9,18,-14.0,42
Derby County,10,12,16,-22.0,42
Manchester City,8,10,20,-24.0,34
Coventry City,8,10,20,-27.0,34
Bradford City,5,11,22,-40.0,26
