First Division,W,D,L,G Ave,Pts
Manchester United,23,11,8,1.83,57
Tottenham Hotspur,22,9,11,1.49,53
Arsenal,21,11,10,1.31,53
Portsmouth,20,8,14,1.17,48
Bolton Wanderers,19,10,13,1.07,48
Aston Villa,19,9,14,1.13,47
Preston North End,17,12,13,1.37,46
Newcastle United,18,9,15,1.34,45
Blackpool,18,9,15,1.0,45
Charlton Athletic,17,10,15,1.08,44
Liverpool,12,19,11,0.93,43
Sunderland,15,12,15,1.15,42
West Bromwich Albion,14,13,15,0.96,41
Burnley,15,10,17,0.89,40
Manchester City,13,13,16,0.95,39
Wolverhampton Wanderers,12,14,16,1.0,38
Derby County,15,7,20,0.79,37
Middlesbrough,15,6,21,0.73,36
Chelsea,14,8,20,0.72,36
Stoke City,12,7,23,0.56,31
Huddersfield Town,10,8,24,0.6,28
Fulham,8,11,23,0.75,27
