Premier League,W,D,L,GD,Pts
Chelsea,29,8,1,57.0,95
Arsenal,25,8,5,51.0,83
Manchester United,22,11,5,32.0,77
Everton,18,7,13,-1.0,61
Liverpool,17,7,14,11.0,58
Bolton Wanderers,16,10,12,5.0,58
Middlesbrough,14,13,11,7.0,55
Manchester City,13,13,12,8.0,52
Tottenham Hotspur,14,10,14,6.0,52
Aston Villa,12,11,15,-7.0,47
Charlton Athletic,12,10,16,-16.0,46
Birmingham City,11,12,15,-6.0,45
Fulham,12,8,18,-8.0,44
Newcastle United,10,14,14,-10.0,44
Blackburn Rovers,9,15,14,-11.0,42
Portsmouth,10,9,19,-16.0,39
West Bromwich Albion,6,16,16,-25.0,34
Crystal Palace,7,12,19,-21.0,33
Norwich City,7,12,19,-35.0,33
Southampton,6,14,18,-21.0,32
