First Division,W,D,L,G Ave,Pts
Manchester United,23,6,9,1.69,52
Aston Villa,17,9,12,1.31,43
Manchester City,16,11,11,1.15,43
Newcastle United,15,12,11,1.2,42
The Wednesday,19,4,15,1.14,42
Middlesbrough,17,7,14,1.2,41
Bury,14,11,13,0.95,39
Liverpool,16,6,16,1.11,38
Nottingham Forest,13,11,14,0.95,37
Bristol City,12,12,14,0.95,36
Everton,15,6,17,0.91,36
Preston North End,12,12,14,0.89,36
Chelsea,14,8,16,0.85,36
Blackburn Rovers,12,12,14,0.81,36
Woolwich Arsenal,12,12,14,0.81,36
Sunderland,16,3,19,1.04,35
Sheffield United,12,11,15,0.9,35
Notts County,13,8,17,0.76,34
Bolton Wanderers,14,5,19,0.9,33
Birmingham,9,12,17,0.67,30
