Premier League,W,D,L,GD,Pts
Arsenal,26,12,0,47.0,90
Chelsea,24,7,7,37.0,79
Manchester United,23,6,9,29.0,75
Liverpool,16,12,10,18.0,60
Newcastle United,13,17,8,12.0,56
Aston Villa,15,11,12,4.0,56
Charlton Athletic,14,11,13,0.0,53
Bolton Wanderers,14,11,13,-8.0,53
Fulham,14,10,14,6.0,52
Birmingham City,12,14,12,-5.0,50
Middlesbrough,13,9,16,-8.0,48
Southampton,12,11,15,-1.0,47
Portsmouth,12,9,17,-7.0,45
Tottenham Hotspur,13,6,19,-10.0,45
Blackburn Rovers,12,8,18,-8.0,44
Manchester City,9,14,15,1.0,41
Everton,9,12,17,-12.0,39
Leicester City,6,15,17,-17.0,33
Leeds United,8,9,21,-39.0,33
Wolverhampton Wanderers,7,12,19,-39.0,33
