First Division,W,D,L,G Ave,Pts
Portsmouth,22,9,11,1.95,53
Wolverhampton Wanderers,20,13,9,1.55,53
Sunderland,21,10,11,1.34,52
Manchester United,18,14,10,1.57,50
Newcastle United,19,12,11,1.4,50
Arsenal,19,11,12,1.44,49
Blackpool,17,15,10,1.31,49
Liverpool,17,14,11,1.19,48
Middlesbrough,20,7,15,1.23,47
Burnley,16,13,13,1.0,45
Derby County,17,10,15,1.13,44
Aston Villa,15,12,15,1.0,42
Chelsea,12,16,14,0.89,40
West Bromwich Albion,14,12,16,0.89,40
Huddersfield Town,14,9,19,0.71,37
Bolton Wanderers,10,14,18,0.76,34
Fulham,10,14,18,0.76,34
Everton,10,14,18,0.64,34
Stoke City,11,12,19,0.6,34
Charlton Athletic,13,6,23,0.82,32
Manchester City,8,13,21,0.53,29
Birmingham City,7,14,21,0.46,28
