First Division,W,D,L,G Ave,Pts
Liverpool,25,10,7,1.71,60
Arsenal,23,11,8,1.33,57
Leeds United,21,11,10,1.58,53
Ipswich Town,17,14,11,1.22,48
Wolverhampton Wanderers,18,11,13,1.22,47
West Ham United,17,12,13,1.26,46
Derby County,19,8,15,1.04,46
Tottenham Hotspur,16,13,13,1.21,45
Newcastle United,16,13,13,1.18,45
Birmingham City,15,12,15,0.98,42
Manchester City,15,11,16,0.95,41
Chelsea,13,14,15,0.96,40
Southampton,11,18,13,0.9,40
Sheffield United,15,10,17,0.86,40
Stoke City,14,10,18,1.09,38
Leicester City,10,17,15,0.87,37
Everton,13,11,18,0.84,37
Manchester United,12,13,17,0.73,37
Coventry City,13,9,20,0.73,35
Norwich City,11,10,21,0.57,32
Crystal Palace,9,12,21,0.71,30
West Bromwich Albion,9,10,23,0.61,28
