Premier League,W,D,L,GD,Pts
Manchester City,27,5,6,65.0,86
Liverpool,26,6,6,51.0,84
Chelsea,25,7,6,44.0,82
Arsenal,24,7,7,27.0,79
Everton,21,9,8,22.0,72
Tottenham Hotspur,21,6,11,4.0,69
Manchester United,19,7,12,21.0,64
Southampton,15,11,12,8.0,56
Stoke City,13,11,14,-7.0,50
Newcastle United,15,4,19,-16.0,49
Crystal Palace,13,6,19,-15.0,45
Swansea City,11,9,18,0.0,42
West Ham United,11,7,20,-11.0,40
Sunderland,10,8,20,-19.0,38
Aston Villa,10,8,20,-22.0,38
Hull City,10,7,21,-15.0,37
West Bromwich Albion,7,15,16,-16.0,36
Norwich City,8,9,21,-34.0,33
Fulham,9,5,24,-45.0,32
Cardiff City,7,9,22,-42.0,30
