First Division,W,D,L,G Ave,Pts
Huddersfield Town,21,16,5,2.46,58
West Bromwich Albion,23,10,9,1.71,56
Bolton Wanderers,22,11,9,2.24,55
Liverpool,20,10,12,1.15,50
Bury,17,15,10,1.06,49
Newcastle United,16,16,10,1.45,48
Sunderland,19,10,13,1.25,48
Birmingham,17,12,13,0.92,46
Notts County,16,13,13,1.35,45
Manchester City,17,9,16,1.12,43
Cardiff City,16,11,15,1.1,43
Tottenham Hotspur,15,12,15,1.21,42
West Ham United,15,12,15,1.03,42
Sheffield United,13,13,16,0.87,39
Aston Villa,13,13,16,0.82,39
Blackburn Rovers,11,13,18,0.8,35
Everton,12,11,19,0.67,35
Leeds United,11,12,19,0.78,34
Burnley,11,12,19,0.61,34
Arsenal,14,5,23,0.79,33
Preston North End,10,6,26,0.5,26
Nottingham Forest,6,12,24,0.45,24
