First Division,W,D,L,G Ave,Pts
Manchester United,25,10,7,1.63,60
Blackpool,20,9,13,1.39,49
Wolverhampton Wanderers,20,9,13,1.37,49
Manchester City,18,10,14,1.19,46
Arsenal,18,10,14,0.98,46
Birmingham City,18,9,15,1.32,45
Burnley,18,8,16,1.19,44
Bolton Wanderers,18,7,17,1.22,43
Sunderland,17,9,16,0.84,43
Luton Town,17,8,17,1.03,42
Newcastle United,17,7,18,1.21,41
Portsmouth,16,9,17,0.92,41
West Bromwich Albion,18,5,19,0.83,41
Charlton Athletic,17,6,19,0.93,40
Everton,15,10,17,0.8,40
Chelsea,14,11,17,0.83,39
Cardiff City,15,9,18,0.8,39
Tottenham Hotspur,15,7,20,0.86,37
Preston North End,14,8,20,1.01,36
Aston Villa,11,13,18,0.75,35
Huddersfield Town,14,7,21,0.65,35
Sheffield United,12,9,21,0.82,33
