Premier League,W,D,L,GD,Pts
Arsenal,23,9,6,35.0,78
Manchester United,23,8,7,47.0,77
Liverpool,18,11,9,26.0,65
Chelsea,20,3,15,28.0,63
Leeds United,17,8,13,11.0,59
Blackburn Rovers,16,10,12,5.0,58
Aston Villa,17,6,15,1.0,57
West Ham United,16,8,14,-1.0,56
Derby County,16,7,15,3.0,55
Leicester City,13,14,11,10.0,53
Coventry City,12,16,10,2.0,52
Southampton,14,6,18,-5.0,48
Newcastle United,11,11,16,-9.0,44
Tottenham Hotspur,11,11,16,-12.0,44
Wimbledon,10,14,14,-12.0,44
Sheffield Wednesday,12,8,18,-15.0,44
Everton,9,13,16,-15.0,40
Bolton Wanderers,9,13,16,-20.0,40
Barnsley,10,5,23,-45.0,35
Crystal Palace,8,9,21,-34.0,33
