First Division,W,D,L,G Ave,Pts
Newcastle United,22,7,9,1.61,51
Bristol City,20,8,10,1.4,48
Everton,20,5,13,1.52,45
Sheffield United,17,11,10,1.04,45
Aston Villa,19,6,13,1.5,44
Bolton Wanderers,18,8,12,1.26,44
Woolwich Arsenal,20,4,14,1.12,44
Manchester United,17,8,13,0.95,42
Birmingham,15,8,15,1.0,38
Sunderland,14,9,15,0.98,37
Middlesbrough,15,6,17,0.89,36
Blackburn Rovers,14,7,17,0.95,35
The Wednesday,12,11,15,0.82,35
Preston North End,14,7,17,0.77,35
Liverpool,13,7,18,0.98,33
Bury,13,6,19,0.85,32
Manchester City,10,12,16,0.69,32
Notts County,8,15,15,0.92,31
Derby County,9,9,20,0.69,27
Stoke,8,10,20,0.64,26
