First Division,W,D,L,GD,Pts
Arsenal,24,13,1,56.0,83
Liverpool,23,7,8,37.0,76
Crystal Palace,20,9,9,9.0,69
Leeds United,19,7,12,18.0,64
Manchester City,17,11,10,11.0,62
Manchester United,16,12,10,13.0,59
Wimbledon,14,14,10,7.0,56
Nottingham Forest,14,12,12,15.0,54
Everton,13,12,13,4.0,51
Tottenham Hotspur,11,16,11,1.0,49
Chelsea,13,10,15,-11.0,49
Queens Park Rangers,12,10,16,-9.0,46
Sheffield United,13,7,18,-19.0,46
Southampton,12,9,17,-11.0,45
Norwich City,13,6,19,-23.0,45
Coventry City,11,11,16,-7.0,44
Aston Villa,9,14,15,-12.0,41
Luton Town,10,7,21,-19.0,37
Sunderland,8,10,20,-22.0,34
Derby County,5,9,24,-38.0,24
