Premier League,W,D,L,GD,Pts
Chelsea,29,4,5,50.0,91
Manchester United,25,8,5,38.0,83
Liverpool,25,7,6,32.0,82
Arsenal,20,7,11,37.0,67
Tottenham Hotspur,18,11,9,15.0,65
Blackburn Rovers,19,6,13,9.0,63
Newcastle United,17,7,14,5.0,58
Bolton Wanderers,15,11,12,8.0,56
West Ham United,16,7,15,-3.0,55
Wigan Athletic,15,6,17,-7.0,51
Everton,14,8,16,-15.0,50
Fulham,14,6,18,-10.0,48
Charlton Athletic,13,8,17,-14.0,47
Middlesbrough,12,9,17,-10.0,45
Manchester City,13,4,21,-5.0,43
Aston Villa,10,12,16,-13.0,42
Portsmouth,10,8,20,-25.0,38
Birmingham City,8,10,20,-22.0,34
West Bromwich Albion,7,9,22,-27.0,30
Sunderland,3,6,29,-43.0,15
