Premier League,W,D,L,GD,Pts
Manchester City,32,4,2,79.0,100
Manchester United,25,6,7,40.0,81
Tottenham Hotspur,23,8,7,38.0,77
Liverpool,21,12,5,46.0,75
Chelsea,21,7,10,24.0,70
Arsenal,19,6,13,23.0,63
Burnley,14,12,12,-3.0,54
Everton,13,10,15,-14.0,49
Leicester City,12,11,15,-4.0,47
Newcastle United,12,8,18,-8.0,44
Crystal Palace,11,11,16,-10.0,44
AFC Bournemouth,11,11,16,-16.0,44
West Ham United,10,12,16,-20.0,42
Watford,11,8,19,-20.0,41
Brighton & Hove Albion,9,13,16,-20.0,40
Huddersfield Town,9,10,19,-30.0,37
Southampton,7,15,16,-19.0,36
Swansea City,8,9,21,-28.0,33
Stoke City,7,12,19,-33.0,33
West Bromwich Albion,6,13,19,-25.0,31
