First Division,W,D,L,G Ave,Pts
Huddersfield Town,23,11,8,1.53,57
Arsenal,22,8,12,1.38,52
Sunderland,21,6,15,1.2,48
Bury,20,7,15,1.1,47
Sheffield United,19,8,15,1.24,46
Aston Villa,16,12,14,1.13,44
Liverpool,14,16,12,1.11,44
Bolton Wanderers,17,10,15,0.99,44
Manchester United,19,6,17,0.9,44
Newcastle United,16,10,16,1.12,42
Everton,12,18,12,1.03,42
Blackburn Rovers,15,11,16,1.14,41
West Bromwich Albion,16,8,18,1.01,40
Birmingham,16,8,18,0.81,40
Tottenham Hotspur,15,9,18,0.84,39
Cardiff City,16,7,19,0.8,39
Leicester City,14,10,18,0.88,38
West Ham United,15,7,20,0.83,37
Leeds United,14,8,20,0.84,36
Burnley,13,10,19,0.79,36
Manchester City,12,11,19,0.89,35
Notts County,13,7,22,0.73,33
