First Division,W,D,L,GD,Pts
Leeds United,22,16,4,37.0,82
Manchester United,21,15,6,30.0,78
Sheffield Wednesday,21,12,9,13.0,75
Arsenal,19,15,8,35.0,72
Manchester City,20,10,12,13.0,70
Liverpool,16,16,10,7.0,64
Aston Villa,17,9,16,4.0,60
Nottingham Forest,16,11,15,2.0,59
Sheffield United,16,9,17,2.0,57
Crystal Palace,14,15,13,-8.0,57
Queens Park Rangers,12,18,12,1.0,54
Everton,13,14,15,1.0,53
Wimbledon,13,14,15,0.0,53
Chelsea,13,14,15,-10.0,53
Tottenham Hotspur,15,7,20,-5.0,52
Southampton,14,10,18,-16.0,52
Oldham Athletic,14,9,19,-4.0,51
Norwich City,11,12,19,-16.0,45
Coventry City,11,11,20,-9.0,44
Luton Town,10,12,20,-33.0,42
Notts County,10,10,22,-22.0,40
West Ham United,9,11,22,-22.0,38
