First Division,W,D,L,G Ave,Pts
Portsmouth,25,8,9,2.0,58
Manchester United,21,11,10,1.75,53
Derby County,22,9,11,1.35,53
Newcastle United,20,12,10,1.25,52
Arsenal,18,13,11,1.68,49
Wolverhampton Wanderers,17,12,13,1.2,46
Manchester City,15,15,12,0.92,45
Sunderland,13,17,12,0.84,43
Charlton Athletic,15,12,15,0.94,42
Aston Villa,16,10,16,0.79,42
Stoke City,16,9,17,0.97,41
Liverpool,13,14,15,1.23,40
Chelsea,12,14,16,1.01,38
Bolton Wanderers,14,10,18,0.87,38
Burnley,12,14,16,0.86,38
Blackpool,11,16,15,0.81,38
Birmingham City,11,15,16,0.95,37
Everton,13,11,18,0.65,37
Middlesbrough,11,12,19,0.81,34
Huddersfield Town,12,10,20,0.58,34
Preston North End,11,11,20,0.83,33
Sheffield United,11,11,20,0.73,33
