,Pld,W,D,A,GD
Manchester City,28,5,5,64.0,89
Manchester United,28,5,5,56.0,89
Arsenal,21,7,10,25.0,70
Tottenham Hotspur,20,9,9,25.0,69
Newcastle United,19,8,11,5.0,65
Chelsea,18,10,10,19.0,64
Everton,15,11,12,10.0,56
Liverpool,14,10,14,7.0,52
Fulham,14,10,14,-3.0,52
West Bromwich Albion,13,8,17,-7.0,47
Swansea City,12,11,15,-7.0,47
Norwich City,12,11,15,-14.0,47
Sunderland,11,12,15,-1.0,45
Stoke City,11,12,15,-17.0,45
Wigan Athletic,11,10,17,-20.0,43
Aston Villa,7,17,14,-16.0,38
Queens Park Rangers,10,7,21,-23.0,37
Bolton Wanderers,10,6,22,-31.0,36
Blackburn Rovers,8,7,23,-30.0,31
Wolverhampton Wanderers,5,10,23,-42.0,25
