First Division,W,D,L,GD,Pts
Aston Villa,26,8,8,32.0,60
Ipswich Town,23,10,9,34.0,56
Arsenal,19,15,8,16.0,53
West Bromwich Albion,20,12,10,18.0,52
Liverpool,17,17,8,20.0,51
Southampton,20,10,12,20.0,50
Nottingham Forest,19,12,11,18.0,50
Manchester United,15,18,9,15.0,48
Leeds United,17,10,15,-8.0,44
Tottenham Hotspur,14,15,13,2.0,43
Stoke City,12,18,12,-9.0,42
Manchester City,14,11,17,-3.0,39
Birmingham City,13,12,17,-11.0,38
Middlesbrough,16,5,21,-8.0,37
Everton,13,10,19,-3.0,36
Coventry City,13,10,19,-20.0,36
Sunderland,14,7,21,-1.0,35
Wolverhampton Wanderers,13,9,20,-12.0,35
Brighton & Hove Albion,14,7,21,-13.0,35
Norwich City,13,7,22,-24.0,33
Leicester City,13,6,23,-27.0,32
Crystal Palace,6,7,29,-36.0,19
