Premier League,W,D,L,GD,Pts
Liverpool,32,3,3,52.0,99
Manchester City,26,3,9,67.0,81
Manchester United,18,12,8,30.0,66
Chelsea,20,6,12,15.0,66
Leicester City,18,8,12,26.0,62
Tottenham Hotspur,16,11,11,14.0,59
Wolverhampton Wanderers,15,14,9,11.0,59
Arsenal,14,14,10,8.0,56
Sheffield United,14,12,12,0.0,54
Burnley,15,9,14,-7.0,54
Southampton,15,7,16,-9.0,52
Everton,13,10,15,-12.0,49
Newcastle United,11,11,16,-20.0,44
Crystal Palace,11,10,17,-19.0,43
Brighton & Hove Albion,9,14,15,-15.0,41
West Ham United,10,9,19,-13.0,39
Aston Villa,9,8,21,-26.0,35
AFC Bournemouth,9,7,22,-25.0,34
Watford,8,10,20,-28.0,34
Norwich City,5,6,27,-49.0,21
