First Division,W,D,L,G Ave,Pts
Wolverhampton Wanderers,28,8,6,2.19,64
Preston North End,26,7,9,1.96,59
Tottenham Hotspur,21,9,12,1.21,51
West Bromwich Albion,18,14,10,1.31,50
Manchester City,22,5,15,1.04,49
Burnley,21,5,16,1.08,47
Blackpool,19,6,17,1.19,44
Luton Town,19,6,17,1.1,44
Manchester United,16,11,15,1.13,43
Nottingham Forest,16,10,16,1.1,42
Chelsea,15,12,15,1.05,42
Arsenal,16,7,19,0.86,39
Birmingham City,14,11,17,0.85,39
Aston Villa,16,7,19,0.85,39
Bolton Wanderers,14,10,18,0.75,38
Everton,13,11,18,0.87,37
Leeds United,14,9,19,0.81,37
Leicester City,14,5,23,0.81,33
Newcastle United,12,8,22,0.9,32
Portsmouth,12,8,22,0.83,32
Sunderland,10,12,20,0.56,32
Sheffield Wednesday,12,7,23,0.75,31
