Premier League,W,D,L,GD,Pts
Leicester City,23,12,3,32.0,81
Arsenal,20,11,7,29.0,71
Tottenham Hotspur,19,13,6,34.0,70
Manchester City,19,9,10,30.0,66
Manchester United,19,9,10,14.0,66
Southampton,18,9,11,18.0,63
West Ham United,16,14,8,14.0,62
Liverpool,16,12,10,13.0,60
Stoke City,14,9,15,-14.0,51
Chelsea,12,14,12,6.0,50
Everton,11,14,13,4.0,47
Swansea City,12,11,15,-10.0,47
Watford,12,9,17,-10.0,45
West Bromwich Albion,10,13,15,-14.0,43
Crystal Palace,11,9,18,-12.0,42
AFC Bournemouth,11,9,18,-22.0,42
Sunderland,9,12,17,-14.0,39
Newcastle United,9,10,19,-21.0,37
Norwich City,9,7,22,-28.0,34
Aston Villa,3,8,27,-49.0,17
