First Division,W,D,L,G Ave,Pts
Arsenal,21,10,11,1.75,52
Wolverhampton Wanderers,20,11,11,1.47,51
Preston North End,16,17,9,1.45,49
Charlton Athletic,16,14,12,1.27,46
Middlesbrough,19,8,15,1.11,46
Brentford,18,9,15,1.17,45
Bolton Wanderers,15,15,12,1.07,45
Sunderland,14,16,12,0.96,44
Leeds United,14,15,13,0.93,43
Chelsea,14,13,15,1.0,41
Liverpool,15,11,16,0.92,41
Blackpool,16,8,18,0.92,40
Derby County,15,10,17,0.76,40
Everton,16,7,19,1.05,39
Huddersfield Town,17,5,20,0.81,39
Leicester City,14,11,17,0.72,39
Stoke City,13,12,17,0.98,38
Birmingham,10,18,14,0.94,38
Portsmouth,13,12,17,0.91,38
Grimsby Town,13,12,17,0.75,38
Manchester City,14,8,20,1.04,36
West Bromwich Albion,14,8,20,0.81,36
