First Division,W,D,L,G Ave,Pts
Arsenal,25,9,8,1.6,59
Huddersfield Town,23,10,9,1.48,56
Tottenham Hotspur,21,7,14,1.41,49
Derby County,17,11,14,1.26,45
Manchester City,17,11,14,0.9,45
Sunderland,16,12,14,1.45,44
West Bromwich Albion,17,10,15,1.11,44
Blackburn Rovers,18,7,17,0.91,43
Leeds United,17,8,17,1.14,42
Portsmouth,15,12,15,0.95,42
Sheffield Wednesday,16,9,17,0.93,41
Stoke City,15,11,16,0.82,41
Aston Villa,14,12,16,1.04,40
Everton,12,16,14,0.98,40
Wolverhampton Wanderers,14,12,16,0.86,40
Middlesbrough,16,7,19,0.85,39
Leicester City,14,11,17,0.8,39
Liverpool,14,10,18,0.91,38
Chelsea,14,8,20,0.97,36
Birmingham,12,12,18,0.96,36
Newcastle United,10,14,18,0.88,34
Sheffield United,12,7,23,0.57,31
