First Division,W,D,L,G Ave,Pts
Liverpool,26,8,8,2.26,60
Sunderland,22,10,10,1.33,54
Huddersfield Town,21,11,10,1.88,53
Newcastle United,18,12,12,1.22,48
Everton,20,7,15,1.07,47
Aston Villa,18,10,14,1.25,46
West Bromwich Albion,17,11,14,1.18,45
Manchester City,17,11,14,1.02,45
Cardiff City,18,7,17,1.24,43
Sheffield United,16,10,16,1.06,42
Arsenal,16,10,16,0.98,42
Tottenham Hotspur,17,7,18,1.0,41
Bolton Wanderers,14,12,16,0.86,40
Blackburn Rovers,14,12,16,0.76,40
Burnley,16,6,20,0.98,38
Preston North End,13,11,18,0.94,37
Birmingham,13,11,18,0.72,37
Middlesbrough,13,10,19,0.9,36
Chelsea,9,18,15,0.85,36
Nottingham Forest,13,8,21,0.59,34
Stoke,10,10,22,0.7,30
Oldham Athletic,10,10,22,0.54,30
