First Division,W,D,L,G Ave,Pts
Sunderland,21,5,4,2.16,47
Everton,18,6,6,1.64,42
Aston Villa,17,5,8,1.91,39
Preston North End,15,5,10,1.35,35
Blackburn Rovers,11,10,9,1.2,32
Sheffield United,14,4,12,1.04,32
Nottingham Forest,13,5,12,0.89,31
The Wednesday,12,4,14,0.91,28
Burnley,11,4,15,0.79,26
Bolton Wanderers,9,7,14,0.98,25
Wolverhampton Wanderers,9,7,14,0.68,25
Small Heath,9,7,14,0.68,25
West Bromwich Albion,10,4,16,0.77,24
Stoke,9,6,15,0.75,24
Derby County,7,9,14,0.66,23
Liverpool,7,8,15,0.73,22
