Premier League,W,D,L,GD,Pts
Manchester United,25,8,5,40.0,83
Arsenal,23,9,6,43.0,78
Newcastle United,21,6,11,15.0,69
Chelsea,19,10,9,30.0,67
Liverpool,18,10,10,20.0,64
Blackburn Rovers,16,12,10,9.0,60
Everton,17,8,13,-1.0,59
Southampton,13,13,12,-3.0,52
Manchester City,15,6,17,-7.0,51
Tottenham Hotspur,14,8,16,-11.0,50
Middlesbrough,13,10,15,4.0,49
Charlton Athletic,14,7,17,-11.0,49
Birmingham City,13,9,16,-8.0,48
Fulham,13,9,16,-9.0,48
Leeds United,14,5,19,1.0,47
Aston Villa,12,9,17,-5.0,45
Bolton Wanderers,10,14,14,-10.0,44
West Ham United,10,12,16,-17.0,42
West Bromwich Albion,6,8,24,-36.0,26
Sunderland,4,7,27,-44.0,19
