Premier League,W,D,L,GD,Pts
Manchester United,27,6,5,58.0,87
Chelsea,25,10,3,39.0,85
Arsenal,24,11,3,43.0,83
Liverpool,21,13,4,39.0,76
Everton,19,8,11,22.0,65
Aston Villa,16,12,10,20.0,60
Blackburn Rovers,15,13,10,2.0,58
Portsmouth,16,9,13,8.0,57
Manchester City,15,10,13,-8.0,55
West Ham United,13,10,15,-8.0,49
Tottenham Hotspur,11,13,14,5.0,46
Newcastle United,11,10,17,-20.0,43
Middlesbrough,10,12,16,-10.0,42
Wigan Athletic,10,10,18,-17.0,40
Sunderland,11,6,21,-23.0,39
Bolton Wanderers,9,10,19,-18.0,37
Fulham,8,12,18,-22.0,36
Reading,10,6,22,-25.0,36
Birmingham City,8,11,19,-16.0,35
Derby County,1,8,29,-69.0,11
