First Division,W,D,L,G Ave,Pts
Sunderland,25,6,11,1.47,56
Derby County,18,12,12,1.17,48
Huddersfield Town,18,12,12,1.05,48
Stoke City,20,7,15,1.0,47
Brentford,17,12,13,1.35,46
Arsenal,15,15,12,1.63,45
Preston North End,18,8,16,1.05,44
Chelsea,15,13,14,0.9,43
Manchester City,17,8,17,1.13,42
Portsmouth,17,8,17,0.81,42
Leeds United,15,11,16,1.03,41
Birmingham,15,11,16,0.97,41
Bolton Wanderers,14,13,15,0.88,41
Middlesbrough,15,10,17,1.2,40
Wolverhampton Wanderers,15,10,17,1.01,40
Everton,13,13,16,1.0,39
Grimsby Town,17,5,20,0.89,39
West Bromwich Albion,16,6,20,1.01,38
Liverpool,13,12,17,0.94,38
Sheffield Wednesday,13,12,17,0.82,38
Aston Villa,13,9,20,0.74,35
Blackburn Rovers,12,9,21,0.57,33
