First Division,W,D,L,G Ave,Pts
Aston Villa,23,7,8,2.0,53
Liverpool,21,6,11,1.37,48
Blackburn Rovers,18,9,11,1.33,45
Newcastle United,19,7,12,1.25,45
Manchester United,19,7,12,1.13,45
Sheffield United,16,10,12,1.51,42
Bradford City,17,8,13,1.36,42
Sunderland,18,5,15,1.29,41
Notts County,15,10,13,1.14,40
Everton,16,8,14,0.91,40
The Wednesday,15,9,14,0.95,39
Preston North End,15,5,18,0.9,35
Bury,12,9,17,0.94,33
Nottingham Forest,11,11,16,0.75,33
Tottenham Hotspur,11,10,17,0.77,32
Bristol City,12,8,18,0.75,32
Middlesbrough,11,9,18,0.77,31
Woolwich Arsenal,11,9,18,0.55,31
Chelsea,11,7,20,0.67,29
Bolton Wanderers,9,6,23,0.62,24
