First Division,W,D,L,G Ave,Pts
Arsenal,23,13,6,2.53,59
Manchester United,19,14,9,1.69,52
Burnley,20,12,10,1.3,52
Derby County,19,12,11,1.35,50
Wolverhampton Wanderers,19,9,14,1.19,47
Aston Villa,19,9,14,1.14,47
Preston North End,20,7,15,0.99,47
Portsmouth,19,7,16,1.36,45
Blackpool,17,10,15,1.39,44
Manchester City,15,12,15,1.11,42
Liverpool,16,10,16,1.07,42
Sheffield United,16,10,16,0.93,42
Charlton Athletic,17,6,19,0.86,40
Everton,17,6,19,0.79,40
Stoke City,14,10,18,0.75,38
Middlesbrough,14,9,19,0.97,37
Bolton Wanderers,16,5,21,0.79,37
Chelsea,14,9,19,0.75,37
Huddersfield Town,12,12,18,0.85,36
Sunderland,13,10,19,0.84,36
Blackburn Rovers,11,10,21,0.75,32
Grimsby Town,8,6,28,0.41,22
