First Division,W,D,L,G Ave,Pts
Newcastle United,23,2,9,2.18,48
Everton,21,5,8,1.75,47
Manchester City,20,6,8,1.78,46
Aston Villa,19,4,11,1.47,42
Sunderland,16,8,10,1.36,40
Sheffield United,19,2,13,1.14,40
Small Heath,17,5,12,1.42,39
Preston North End,13,10,11,1.14,36
The Wednesday,14,5,15,1.07,33
Woolwich Arsenal,12,9,13,0.9,33
Derby County,12,8,14,0.77,32
Stoke,13,4,17,0.69,30
Blackburn Rovers,11,5,18,0.78,27
Wolverhampton Wanderers,11,4,19,0.64,26
Middlesbrough,9,8,17,0.64,26
Nottingham Forest,9,7,18,0.66,25
Bury,10,4,20,0.7,24
Notts County,5,8,21,0.52,18
