First Division,W,D,L,G Ave,Pts
Derby County,24,10,8,2.09,58
Leeds United,24,9,9,2.35,57
Liverpool,24,9,9,2.13,57
Manchester City,23,11,8,1.71,57
Arsenal,22,8,12,1.45,52
Tottenham Hotspur,19,13,10,1.5,51
Chelsea,18,12,12,1.18,48
Manchester United,19,10,13,1.13,48
Wolverhampton Wanderers,18,11,13,1.14,47
Sheffield United,17,12,13,1.02,46
Newcastle United,15,11,16,0.94,41
Leicester City,13,13,16,0.89,39
Ipswich Town,11,16,15,0.74,38
West Ham United,12,12,18,0.92,36
Everton,9,18,15,0.77,36
West Bromwich Albion,12,11,19,0.78,35
Stoke City,10,15,17,0.7,35
Coventry City,9,15,18,0.66,33
Southampton,12,7,23,0.65,31
Crystal Palace,8,13,21,0.6,29
Nottingham Forest,8,9,25,0.58,25
Huddersfield Town,6,13,23,0.46,25
