First Division,W,D,L,G Ave,Pts
Arsenal,25,8,9,1.93,58
Aston Villa,23,8,11,1.37,54
Sheffield Wednesday,21,9,12,1.18,51
West Bromwich Albion,20,9,13,1.19,49
Newcastle United,22,5,15,1.13,49
Huddersfield Town,18,11,13,1.25,47
Derby County,15,14,13,1.1,44
Leeds United,15,14,13,0.95,44
Portsmouth,18,7,17,0.97,43
Sheffield United,17,9,16,0.93,43
Everton,16,9,17,1.09,41
Sunderland,15,10,17,0.79,40
Birmingham,14,11,17,1.0,39
Liverpool,14,11,17,0.94,39
Blackburn Rovers,14,10,18,0.75,38
Manchester City,16,5,21,0.96,37
Middlesbrough,14,9,19,0.86,37
Chelsea,14,7,21,0.86,35
Leicester City,11,13,18,0.84,35
Wolverhampton Wanderers,13,9,20,0.83,35
Bolton Wanderers,12,9,21,0.85,33
Blackpool,14,5,23,0.81,33
