First Division,W,D,L,G Ave,Pts
Ipswich Town,24,8,10,1.39,56
Burnley,21,11,10,1.51,53
Tottenham Hotspur,21,10,11,1.28,52
Everton,20,11,11,1.63,51
Sheffield United,19,9,14,0.88,47
Sheffield Wednesday,20,6,16,1.24,46
Aston Villa,18,8,16,1.16,44
West Ham United,17,10,15,0.93,44
West Bromwich Albion,15,13,14,1.24,43
Arsenal,16,11,15,0.99,43
Bolton Wanderers,16,10,16,0.94,42
Manchester City,17,7,18,0.96,41
Blackpool,15,11,16,0.93,41
Leicester City,17,6,19,1.01,40
Manchester United,15,9,18,0.96,39
Blackburn Rovers,14,11,17,0.86,39
Birmingham City,14,10,18,0.8,38
Wolverhampton Wanderers,13,10,19,0.85,36
Nottingham Forest,13,10,19,0.8,36
Fulham,13,7,22,0.89,33
Cardiff City,9,14,19,0.62,32
Chelsea,9,10,23,0.67,28
