First Division,W,D,L,G Ave,Pts
Everton,25,11,6,2.0,61
Tottenham Hotspur,23,9,10,1.79,55
Burnley,22,10,10,1.37,54
Leicester City,20,12,10,1.49,52
Wolverhampton Wanderers,20,10,12,1.43,50
Sheffield Wednesday,19,10,13,1.22,48
Arsenal,18,10,14,1.12,46
Liverpool,17,10,15,1.2,44
Nottingham Forest,17,10,15,0.97,44
Sheffield United,16,12,14,0.97,44
Blackburn Rovers,15,12,15,1.11,42
West Ham United,14,12,16,1.06,40
Blackpool,13,14,15,0.91,40
West Bromwich Albion,16,7,19,0.9,39
Aston Villa,15,8,19,0.91,38
Fulham,14,10,18,0.7,38
Ipswich Town,12,11,19,0.76,35
Bolton Wanderers,15,5,22,0.73,35
Manchester United,12,10,20,0.83,34
Birmingham City,10,13,19,0.7,33
Manchester City,10,11,21,0.57,31
Leyton Orient,6,9,27,0.46,21
