Premier League,W,D,L,GD,Pts
Manchester United,23,11,4,41.0,80
Chelsea,21,8,9,36.0,71
Manchester City,21,8,9,27.0,71
Arsenal,19,11,8,29.0,68
Tottenham Hotspur,16,14,8,9.0,62
Liverpool,17,7,14,15.0,58
Everton,13,15,10,6.0,54
Fulham,11,16,11,6.0,49
Aston Villa,12,12,14,-11.0,48
Sunderland,12,11,15,-11.0,47
West Bromwich Albion,12,11,15,-15.0,47
Newcastle United,11,13,14,-1.0,46
Stoke City,13,7,18,-2.0,46
Bolton Wanderers,12,10,16,-4.0,46
Blackburn Rovers,11,10,17,-13.0,43
Wigan Athletic,9,15,14,-21.0,42
Wolverhampton Wanderers,11,7,20,-20.0,40
Birmingham City,8,15,15,-21.0,39
Blackpool,10,9,19,-23.0,39
West Ham United,7,12,19,-27.0,33
