First Division,W,D,L,G Ave,Pts
Liverpool,23,14,5,2.13,60
Queens Park Rangers,24,11,7,2.03,59
Manchester United,23,10,9,1.62,56
Derby County,21,11,10,1.29,53
Leeds United,21,9,12,1.41,51
Ipswich Town,16,14,12,1.13,46
Leicester City,13,19,10,0.94,45
Manchester City,16,11,15,1.39,43
Tottenham Hotspur,14,15,13,1.0,43
Norwich City,16,10,16,1.0,42
Everton,15,12,15,0.91,42
Stoke City,15,11,16,0.96,41
Middlesbrough,15,10,17,1.02,40
Coventry City,13,14,15,0.82,40
Newcastle United,15,9,18,1.15,39
Aston Villa,11,17,14,0.86,39
Arsenal,13,10,19,0.89,36
West Ham United,13,10,19,0.68,36
Birmingham City,13,7,22,0.76,33
Wolverhampton Wanderers,10,10,22,0.75,30
Burnley,9,10,23,0.65,28
Sheffield United,6,10,26,0.4,22
