First Division,W,D,L,GD,Pts
Nottingham Forest,25,14,3,45.0,64
Liverpool,24,9,9,31.0,57
Everton,22,11,9,31.0,55
Manchester City,20,12,10,23.0,52
Arsenal,21,10,11,23.0,52
West Bromwich Albion,18,14,10,9.0,50
Coventry City,18,12,12,13.0,48
Aston Villa,18,10,14,15.0,46
Leeds United,18,10,14,10.0,46
Manchester United,16,10,16,4.0,42
Birmingham City,16,9,17,-5.0,41
Derby County,14,13,15,-5.0,41
Norwich City,11,18,13,-14.0,40
Middlesbrough,12,15,15,-12.0,39
Wolverhampton Wanderers,12,12,18,-13.0,36
Chelsea,11,14,17,-23.0,36
Bristol City,11,13,18,-4.0,35
Ipswich Town,11,13,18,-14.0,35
Queens Park Rangers,9,15,18,-17.0,33
West Ham United,12,8,22,-17.0,32
Newcastle United,6,10,26,-36.0,22
Leicester City,5,12,25,-44.0,22
