First Division,W,D,L,G Ave,Pts
Leeds United,27,13,2,2.54,67
Liverpool,25,11,6,2.63,61
Everton,21,15,6,2.14,57
Arsenal,22,12,8,2.07,56
Chelsea,20,10,12,1.38,50
Tottenham Hotspur,14,17,11,1.2,45
Southampton,16,13,13,1.19,45
West Ham United,13,18,11,1.32,44
Newcastle United,15,14,13,1.11,44
West Bromwich Albion,16,11,15,0.96,43
Manchester United,15,12,15,1.08,42
Ipswich Town,15,11,16,0.98,41
Manchester City,15,10,17,1.16,40
Burnley,15,9,18,0.67,39
Sheffield Wednesday,10,16,16,0.76,36
Wolverhampton Wanderers,10,15,17,0.71,35
Sunderland,11,12,19,0.64,34
Nottingham Forest,10,13,19,0.79,33
Stoke City,9,15,18,0.63,33
Coventry City,10,11,21,0.72,31
Leicester City,9,12,21,0.57,30
Queens Park Rangers,4,10,28,0.41,18
