First Division,W,D,L,G Ave,Pts
Newcastle United,24,5,9,1.59,53
Everton,18,10,10,1.44,46
Sunderland,21,2,15,1.24,44
Blackburn Rovers,14,13,11,1.22,41
The Wednesday,17,6,15,1.1,40
Woolwich Arsenal,14,10,14,1.06,38
Aston Villa,14,10,14,1.04,38
Bristol City,13,12,13,0.78,38
Middlesbrough,14,9,15,1.11,37
Preston North End,13,11,14,1.09,37
Chelsea,14,9,15,0.92,37
Sheffield United,14,9,15,0.86,37
Manchester United,15,7,16,0.85,37
Nottingham Forest,14,8,16,1.16,36
Notts County,14,8,16,1.06,36
Liverpool,15,6,17,0.88,36
Bury,14,8,16,0.82,36
Bradford City,12,10,16,1.0,34
Manchester City,15,4,19,0.97,34
Leicester Fosse,8,9,21,0.53,25
