First Division,W,D,L,G Ave,Pts
Aston Villa,20,5,5,1.73,45
Derby County,17,7,6,1.94,41
Everton,16,7,7,1.53,39
Bolton Wanderers,16,5,9,1.32,37
Sunderland,15,7,8,1.27,37
Stoke,15,0,15,1.19,30
The Wednesday,12,5,13,0.83,29
Blackburn Rovers,12,5,13,0.8,29
Preston North End,11,6,13,0.92,28
Burnley,10,7,13,1.09,27
Bury,12,3,15,0.93,27
Sheffield United,10,6,14,0.8,26
Nottingham Forest,11,3,16,0.74,25
Wolverhampton Wanderers,10,1,19,0.94,21
Small Heath,8,4,18,0.49,20
West Bromwich Albion,6,7,17,0.51,19
