Premier League,W,D,L,GD,Pts
Chelsea,27,5,6,71.0,86
Manchester United,27,4,7,58.0,85
Arsenal,23,6,9,42.0,75
Tottenham Hotspur,21,7,10,26.0,70
Manchester City,18,13,7,28.0,67
Aston Villa,17,13,8,13.0,64
Liverpool,18,9,11,26.0,63
Everton,16,13,9,11.0,61
Birmingham City,13,11,14,-9.0,50
Blackburn Rovers,13,11,14,-14.0,50
Stoke City,11,14,13,-14.0,47
Fulham,12,10,16,-7.0,46
Sunderland,11,11,16,-8.0,44
Bolton Wanderers,10,9,19,-25.0,39
Wolverhampton Wanderers,9,11,18,-24.0,38
Wigan Athletic,9,9,20,-42.0,36
West Ham United,8,11,19,-19.0,35
Burnley,8,6,24,-40.0,30
Hull City,6,12,20,-41.0,30
Portsmouth,7,7,24,-32.0,19
