First Division,W,D,L,G Ave,Pts
Aston Villa,22,6,6,2.2,50
Sheffield United,18,12,4,1.91,48
Sunderland,19,3,12,1.43,41
Wolverhampton Wanderers,15,9,10,1.3,39
Newcastle United,13,10,11,1.23,36
Derby County,14,8,12,1.05,36
Manchester City,13,8,13,1.14,34
Nottingham Forest,13,8,13,1.02,34
Stoke,13,8,13,0.82,34
Liverpool,14,5,15,1.09,33
Everton,13,7,14,0.96,33
Bury,13,6,15,0.91,32
West Bromwich Albion,11,8,15,0.84,30
Blackburn Rovers,13,4,17,0.8,30
Notts County,9,11,14,0.77,29
Preston North End,12,4,18,0.79,28
Burnley,11,5,18,0.63,27
Glossop,4,10,20,0.42,18
