First Division,W,D,L,G Ave,Pts
West Bromwich Albion,28,4,10,2.21,60
Burnley,21,9,12,1.1,51
Chelsea,22,5,15,1.1,49
Liverpool,19,10,13,1.34,48
Sunderland,22,4,16,1.22,48
Bolton Wanderers,19,9,14,1.11,47
Manchester City,18,9,15,1.15,45
Newcastle United,17,9,16,1.13,43
Aston Villa,18,6,18,1.03,42
Arsenal,15,12,15,0.97,42
Bradford,15,12,15,0.95,42
Manchester United,13,14,15,1.08,40
Middlesbrough,15,10,17,0.94,40
Sheffield United,16,8,18,0.86,40
Bradford City,14,11,17,0.86,39
Everton,12,14,16,1.01,38
Oldham Athletic,15,8,19,0.94,38
Derby County,13,12,17,0.82,38
Preston North End,14,10,18,0.78,38
Blackburn Rovers,13,11,18,0.83,37
Notts County,12,12,18,0.76,36
The Wednesday,7,9,26,0.44,23
