First Division,W,D,L,G Ave,Pts
Sunderland,22,4,4,2.78,48
Preston North End,17,3,10,1.46,37
Everton,16,4,10,1.45,36
Aston Villa,16,3,11,1.18,35
Bolton Wanderers,13,6,11,1.02,32
Burnley,13,4,13,1.16,30
Stoke,12,5,13,1.21,29
West Bromwich Albion,12,5,13,0.84,29
Blackburn Rovers,8,13,9,0.84,29
Nottingham Forest,10,8,12,0.92,28
Wolverhampton Wanderers,12,4,14,0.69,28
The Wednesday,12,3,15,0.85,27
Derby County,9,9,12,0.81,27
Notts County,10,4,16,0.87,24
Accrington,6,11,13,0.7,23
Newton Heath,6,6,18,0.59,18
