First Division,W,D,L,G Ave,Pts
Chelsea,20,12,10,1.42,52
Wolverhampton Wanderers,19,10,13,1.27,48
Portsmouth,18,12,12,1.19,48
Sunderland,15,18,9,1.19,48
Manchester United,20,7,15,1.14,47
Aston Villa,20,7,15,0.99,47
Manchester City,18,10,14,1.1,46
Newcastle United,17,9,16,1.16,43
Arsenal,17,9,16,1.1,43
Burnley,17,9,16,1.06,43
Everton,16,10,16,0.91,42
Huddersfield Town,14,13,15,0.93,41
Sheffield United,17,7,18,0.81,41
Preston North End,16,8,18,1.3,40
Charlton Athletic,15,10,17,1.01,40
Tottenham Hotspur,16,8,18,0.99,40
West Bromwich Albion,16,8,18,0.79,40
Bolton Wanderers,13,13,16,0.9,39
Blackpool,14,10,18,0.94,38
Cardiff City,13,11,18,0.82,37
Leicester City,12,11,19,0.86,35
Sheffield Wednesday,8,10,24,0.63,26
