First Division,W,D,L,G Ave,Pts
The Wednesday,20,7,7,1.71,47
Manchester City,19,6,9,1.58,44
Everton,19,5,10,1.84,43
Newcastle United,18,6,10,1.29,42
Aston Villa,17,7,10,1.46,41
Sunderland,17,5,12,1.29,39
Sheffield United,15,8,11,1.09,38
Wolverhampton Wanderers,14,8,12,0.67,36
Nottingham Forest,11,9,14,1.0,31
Middlesbrough,9,12,13,0.98,30
Small Heath,11,8,15,0.75,30
Bury,7,15,12,0.75,29
Notts County,12,5,17,0.61,29
Derby County,9,10,15,0.97,28
Blackburn Rovers,11,6,17,0.8,28
Stoke,10,7,17,0.95,27
Liverpool,9,8,17,0.79,26
West Bromwich Albion,7,10,17,0.6,24
