First Division,W,D,L,G Ave,Pts
Wolverhampton Wanderers,28,5,9,2.24,61
Manchester United,24,7,11,1.56,55
Arsenal,21,8,13,1.29,50
Bolton Wanderers,20,10,12,1.2,50
West Bromwich Albion,18,13,11,1.29,49
West Ham United,21,6,15,1.21,48
Burnley,19,10,13,1.16,48
Blackpool,18,11,13,1.35,47
Birmingham City,20,6,16,1.24,46
Blackburn Rovers,17,10,15,1.09,44
Newcastle United,17,7,18,1.0,41
Preston North End,17,7,18,0.91,41
Nottingham Forest,17,6,19,0.96,40
Chelsea,18,4,20,0.79,40
Leeds United,15,9,18,0.77,39
Everton,17,4,21,0.82,38
Luton Town,12,13,17,0.96,37
Tottenham Hotspur,13,10,19,0.89,36
Leicester City,11,10,21,0.68,32
Manchester City,11,9,22,0.67,31
Aston Villa,11,8,23,0.67,30
Portsmouth,6,9,27,0.57,21
