Premier League,W,D,L,GD,Pts
Arsenal,26,9,3,43.0,87
Liverpool,24,8,6,37.0,80
Manchester United,24,5,9,42.0,77
Newcastle United,21,8,9,22.0,71
Leeds United,18,12,8,16.0,66
Chelsea,17,13,8,28.0,64
West Ham United,15,8,15,-9.0,53
Aston Villa,12,14,12,-1.0,50
Tottenham Hotspur,14,8,16,-4.0,50
Blackburn Rovers,12,10,16,4.0,46
Southampton,12,9,17,-8.0,45
Middlesbrough,12,9,17,-12.0,45
Fulham,10,14,14,-8.0,44
Charlton Athletic,10,14,14,-11.0,44
Everton,11,10,17,-12.0,43
Bolton Wanderers,9,13,16,-18.0,40
Sunderland,10,10,18,-22.0,40
Ipswich Town,9,9,20,-23.0,36
Derby County,8,6,24,-30.0,30
Leicester City,5,13,20,-34.0,28
