First Division,W,D,L,G Ave,Pts
Sunderland,19,6,9,1.43,44
Everton,17,7,10,1.51,41
Newcastle United,14,9,11,1.41,37
Blackburn Rovers,15,6,13,1.08,36
Nottingham Forest,13,9,12,1.0,35
Derby County,13,9,12,0.95,35
Bury,13,8,13,1.16,34
Aston Villa,13,8,13,1.05,34
The Wednesday,13,8,13,0.92,34
Sheffield United,13,7,14,1.1,33
Liverpool,10,12,12,1.11,32
Bolton Wanderers,12,8,14,0.91,32
Notts County,14,4,16,0.89,32
Wolverhampton Wanderers,13,6,15,0.81,32
Grimsby Town,13,6,15,0.73,32
Stoke,11,9,14,0.82,31
Small Heath,11,8,15,1.04,30
Manchester City,11,6,17,0.72,28
