First Division,W,D,L,G Ave,Pts
Arsenal,21,12,9,1.52,54
Preston North End,21,12,9,1.42,54
Wolverhampton Wanderers,19,13,10,1.37,51
West Bromwich Albion,21,8,13,1.1,50
Charlton Athletic,19,11,12,1.22,49
Burnley,18,12,12,1.29,48
Blackpool,19,9,14,1.01,47
Manchester United,18,10,14,0.96,46
Sunderland,15,13,14,0.83,43
Tottenham Hotspur,15,11,16,1.13,41
Aston Villa,14,13,15,1.03,41
Cardiff City,14,12,16,1.17,40
Middlesbrough,14,11,17,0.91,39
Bolton Wanderers,15,9,18,0.88,39
Portsmouth,14,10,18,0.89,38
Newcastle United,14,9,19,0.84,37
Liverpool,14,8,20,0.74,36
Sheffield Wednesday,12,11,19,0.86,35
Chelsea,12,11,19,0.85,35
Manchester City,14,7,21,0.83,35
Stoke City,12,10,20,0.8,34
Derby County,11,10,21,0.8,32
