Premier League,W,D,L,GD,Pts
Manchester United,21,12,5,32.0,75
Newcastle United,19,11,8,33.0,68
Arsenal,19,11,8,30.0,68
Liverpool,19,11,8,25.0,68
Aston Villa,17,10,11,13.0,61
Chelsea,16,11,11,3.0,59
Sheffield Wednesday,14,15,9,-1.0,57
Wimbledon,15,11,12,3.0,56
Leicester City,12,11,15,-8.0,47
Tottenham Hotspur,13,7,18,-7.0,46
Leeds United,11,13,14,-10.0,46
Derby County,11,13,14,-13.0,46
Blackburn Rovers,9,15,14,-1.0,42
West Ham United,10,12,16,-9.0,42
Everton,10,12,16,-13.0,42
Southampton,10,11,17,-6.0,41
Coventry City,9,14,15,-16.0,41
Sunderland,10,10,18,-18.0,40
Middlesbrough,10,12,16,-9.0,39
Nottingham Forest,6,16,16,-28.0,34
