First Division,W,D,L,G Ave,Pts
Liverpool,19,7,8,1.69,45
Sunderland,15,13,6,2.19,43
Notts County,18,4,12,1.17,40
Nottingham Forest,16,7,11,1.47,39
Bury,16,7,11,1.43,39
Newcastle United,14,10,10,1.14,38
Everton,16,5,13,1.31,37
The Wednesday,13,10,11,1.24,36
Blackburn Rovers,12,9,13,0.83,33
Bolton Wanderers,13,7,14,0.71,33
Manchester City,13,6,15,0.83,32
Derby County,12,7,15,1.31,31
Wolverhampton Wanderers,9,13,12,0.71,31
Sheffield United,12,7,15,0.67,31
Aston Villa,10,10,14,0.88,30
Stoke,11,5,18,0.81,27
Preston North End,9,7,18,0.65,25
West Bromwich Albion,7,8,19,0.56,22
