First Division,W,D,L,G Ave,Pts
Everton,27,5,10,1.69,59
Wolverhampton Wanderers,22,11,9,2.26,55
Charlton Athletic,22,6,14,1.27,50
Middlesbrough,20,9,13,1.26,49
Arsenal,19,9,14,1.34,47
Derby County,19,8,15,1.2,46
Stoke City,17,12,13,1.04,46
Bolton Wanderers,15,15,12,1.16,45
Preston North End,16,12,14,1.07,44
Grimsby Town,16,11,15,0.88,43
Liverpool,14,14,14,0.98,42
Aston Villa,16,9,17,1.18,41
Leeds United,16,9,17,0.88,41
Manchester United,11,16,15,0.88,38
Blackpool,12,14,16,0.82,38
Sunderland,13,12,17,0.81,38
Portsmouth,12,13,17,0.67,37
Brentford,14,8,20,0.72,36
Huddersfield Town,12,11,19,0.91,35
Chelsea,12,9,21,0.8,33
Birmingham,12,8,22,0.74,32
Leicester City,9,11,22,0.59,29
