First Division,W,D,L,G Ave,Pts
Everton,20,13,9,1.55,53
Huddersfield Town,22,7,13,1.34,51
Leicester City,18,12,12,1.33,48
Derby County,17,10,15,1.16,44
Bury,20,4,18,1.0,44
Cardiff City,17,10,15,0.88,44
Bolton Wanderers,16,11,15,1.23,43
Aston Villa,17,9,16,1.07,43
Newcastle United,15,13,14,0.98,43
Arsenal,13,15,14,0.95,41
Birmingham,13,15,14,0.93,41
Blackburn Rovers,16,9,17,0.85,41
Sheffield United,15,10,17,0.92,40
The Wednesday,13,13,16,1.04,39
Sunderland,15,9,18,0.97,39
Liverpool,13,13,16,0.97,39
West Ham United,14,11,17,0.92,39
Manchester United,16,7,19,0.9,39
Burnley,16,7,19,0.84,39
Portsmouth,16,7,19,0.73,39
Tottenham Hotspur,15,8,19,0.86,38
Middlesbrough,11,15,16,0.92,37
